          FW          	CUT	SVN	Coex
rtl8822c_fw           	 D	4063131810	2020
rtl8733b_8723f_fw     	 C	79260310	0e0e
rtl8852bps_fw         	 B	3386859402	0707
rtl8822cs_fw          	 D	4063131810	2020
rtl8725as_fw          	 B	23166	0202
rtl8852cu_fw          	 B	1530463254	0707
rtl8821cs_fw          	 B	199569780	5b5b
rtl8725a_fw           	 B	1941898730	0202
rtl8761b_fw           	 B	2551070389	0202
rtl8761bt_fw          	 B	2551070389	0202
rtl8733bs_8723fs_fw   	 C	1756454059	0e0e
rtl8852bs_fw          	 B	3386859402	0707
rtl8852bu_fw          	 B	3386859402	0707
rtl8852au_fw          	 B	4147630002	0707
rtl8852cs_fw          	 B	1530463254	0707
rtl8761bs_fw          	 B	21127	0606
rtl8821c_fw           	 B	199569780	5b5b
rtl8852as_fw          	 B	4147630002	0707
